# File: All_Surveys_v11-free-cla_m.detections-full
# 
# Creation time: 2021-03-02T16:40:53.000  +0100
# 
# Colors used
# 
# 0.90e0 0.0e0 -0.5e0 -1.0e0 1.5e0 1.2e0  0.8e0 -0.1e0 -0.5e0 0.0e0
# 0.60e0 0.0e0 -0.5e0 -1.0e0 1.5e0 1.2e0  0.8e0 -0.1e0 -0.5e0 0.0e0
# 
# Grid size:
# h_step:  0.1
# a_step:  0.2
# q_step:  0.2
# si_step: 0.001
# 
a e ifree Omfree omfree tperi object MPC
42.571792 0.164806 21.893 154.971 284.287 81188.021 o5d093 K15VH2V
43.213061 0.028882 1.493 207.843 36.621 33626.971 o5d094 K15VH0V
44.59774 0.073923 2.351 112.309 274.705 75244.421 o5d095 K15VH3L
44.426954 0.054319 2.065 321.332 62.658 74354.616 o5d096 K15VH1C
43.253853 0.00535 2.309 112.867 110.031 26985.069 o5d097 K15VH1W
44.335292 0.040823 2.537 163.642 216.691 73547.886 o5d098 K15VH2T
45.186968 0.1221 11.898 323.547 277.254 37587.592 o5d099 K15VH1Q
42.595197 0.018799 4.139 338.046 181.995 7481.3 o5d100 K15VH1G
43.277147 0.039526 0.902 238.168 348.853 29113.628 o5d101 K15VH0R
43.41715 0.12394 10.193 149.931 78.124 32716.546 o5d102 K15VH2O
45.346171 0.039032 0.076 4.223 334.968 63627.511 o5d103 K15VH2Y
43.7937 0.03518 1.179 208.66 212.092 84339.698 o5d104 K15VH2Q
43.431475 0.026035 3.005 175.048 29.948 22337.623 o5d105 K15VH0T
44.149129 0.077208 1.197 348.04 235.629 30383.753 o5d106 K15VH1S
43.705564 0.058755 10.056 331.334 242.506 26914.695 o5d107 K15VH3K
43.038849 0.035817 0.318 35.141 120.862 7521.722 o5d108 K15VH2Z
43.138056 0.067176 3.283 339.422 114.676 90937.694 o5d109 K15VH1K
43.569789 0.027873 2.452 23.311 149.979 13406.562 o5d110 K15VH3R
44.166666 0.066453 1.116 0.865 66.574 86611.429 o5d111 K15VH3G
42.722706 0.051174 3.261 5.671 142.396 106721.265 o5d112 K15VH3N
46.659301 0.066506 1.973 274.596 100.83 74875.168 o5d113 K15VH0X
44.250333 0.086742 2.832 310.302 267.423 28560.399 o5d114 K15VH0Z
43.719887 0.030958 0.812 6.632 132.291 108126.266 o5d116 K15VH1N
45.166734 0.066019 6.62 130.973 94.734 31072.265 o5d117 K15VH1R
44.717917 0.087277 0.266 275.457 301.384 28940.064 o5d119 K15VH3E
45.758865 0.039598 2.522 164.095 73.603 33758.141 o5d120 K15VH0W
43.922765 0.054225 3.209 131.297 61.919 20276.692 o5d121 K15VH3M
43.823329 0.066751 2.091 36.948 161.737 22028.351 o5d122 K15VH2E
43.865259 0.067177 2.846 107.367 343.792 92554.846 o5d123 K15VH2H
45.589245 0.133466 12.7 125.384 90.951 30873.803 o5d124 K15VH3S
44.358855 0.041054 0.372 139.504 329.152 100765.748 o5d125 K15VH2W
45.444416 0.033488 0.347 251.448 178.743 91226.375 o5d126 K15VH2R
44.013576 0.087374 2.144 58.674 137.671 21927.095 o5d127 K15VH2G
43.38753 0.067142 0.491 35.306 97.64 104614.849 o5d128 K15VH3F
43.885748 0.055932 1.942 47.643 76.627 104145.539 o5d129 K15VH3P
43.312315 0.153314 20.989 330.408 119.908 88518.932 o5d130 K15VH3J
43.816393 0.079197 0.584 352.635 177.126 12902.988 o5d131 K15VH1B
43.983217 0.089078 0.162 281.185 185.195 97361.243 o5d132 K15VH1E
43.998766 0.10122 0.259 355.958 104.187 94867.435 o5d133 K15VH1M
46.848144 0.043831 0.516 100.117 308.655 86562.246 o5d134 K15VH1L
