Object                  Class  Epo  Mult M11    M11_s Grt     Grt_s  BV     BVs    BVd    VR     VRs    VRd    RI     RIs    RId   VJ     VJs    VJd    JH     JHs    JHd    HK     HKs    HKd      
28958-2001CQ42          JTrojan   1   1 ------ ------ -2.591  1.987  0.730  0.054  0.000  0.364  0.045  0.000  0.230  0.071  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
28978-Ixion             Res-3:2  16   1  3.257  0.116 22.179  2.243  1.018  0.041  0.017  0.605  0.030  0.005  0.580  0.040  0.000  1.590  0.064  0.000  0.277  0.069  0.018 -0.010  0.071  0.000
#                      - Ful+08 TAXO=IR 
#                        Lel+13 nodate ThermalIR tel=S+H hmag=3.828 0.039 emi=0.9 - diam=617 -20 +19 pV=0.141 -0.011 +0.011 freeta=0.91 -0.06 +0.04 
#                        MPC nodate 2001 KX76 
#
29981-1999TD10          Scatter  18   1  8.714  0.040 12.194  1.263  0.808  0.095  0.089  0.502  0.032  0.011  0.511  0.051  0.040  1.790  0.057  0.000  0.425  0.093  0.005 ------ ------ ------
#                      - Ful+08 TAXO=BR 
#                        Pei+12 g SPECTRUM=Water ice 
30698-Hippokoon         JTrojan   3   1 12.002  0.128  7.486  2.170  0.715  0.067  0.000  0.458  0.048  0.015  0.412  0.079  0.023  1.527  0.074  0.038  0.396  0.080  0.037  0.183  0.069  0.001
31820-1999RT186         JTrojan   1   1 12.409  0.168 10.495  4.232  0.889  0.093  0.000  0.520  0.091  0.000  0.396  0.153  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
31821-1999RK225         JTrojan   1   1 11.847  0.173  8.202  3.877  0.980  0.111  0.000  0.440  0.097  0.000  0.461  0.145  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
31824-Elatus            Centaur  15   1 10.430  0.124 27.348  1.859  1.020  0.060  0.029  0.620  0.048  0.019  0.630  0.038  0.021 ------ ------ ------  0.392  0.062  0.000  0.020  0.086  0.000
#                      - Duf+14 nodate ThermalIR tel=S hmag=10.4 0.09 emi=0.9 - diam=49.8 -9.8 +10.4 pV=0.049 -0.016 +0.028 fixeta=1.2 -0.35 +0.35 
#                        Ful+08 TAXO=RR 
#                        Pei+12 g SPECTRUM=Water ice 
#
32430-2000RQ83          JTrojan   1   1 12.286  0.074  8.679  1.818  0.772  0.038  0.000  0.474  0.045  0.000  0.425  0.067  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
32532-Thereus           Centaur 224   1  9.246  0.015 10.623  1.294  0.764  0.049  0.045  0.501  0.017  0.003  0.479  0.039  0.019  1.350  0.050  0.000  0.442  0.074  0.049  0.110  0.074  0.000
#                      - Duf+14 nodate ThermalIR tel=S hmag=9.4 0.16 emi=0.9 - diam=62 -3 +3 pV=0.083 -0.013 +0.016 freeta=0.87 -0.08 +0.08 
#                        Ful+08 TAXO=BR 
#                        Pei+12 h SPECTRUM=Water ice 
32615-2001QU277         JTrojan   1   1 11.427  0.050  9.346  1.235  0.807  0.052  0.000  0.452  0.028  0.000  0.474  0.043  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
32794-1989UE5           JTrojan   1   1 12.722  0.094  6.794  2.116  0.923  0.065  0.000  0.393  0.056  0.000  0.486  0.080  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
32929-1995QY9           Class-h   5   1  7.374  0.062 18.741 10.170  0.740  0.200  0.000  0.561  0.110  0.067 ------ ------ ------  2.027  0.201  0.137 ------ ------ ------ ------ ------ ------
#                      - Ful+08 TAXO=BR 
#
33001-1997CU29          Class-c   6   1  6.214  0.104 28.823  3.429  1.157  0.145  0.082  0.645  0.066  0.020  0.634  0.092  0.044 ------ ------ ------  0.410  0.238  0.000 ------ ------ ------
#                      - Ful+08 TAXO=RR 
33128-1998BU48          Scatter   9   1  6.854  0.137 26.535  4.487  1.044  0.071  0.046  0.631  0.101  0.048  0.644  0.104  0.050  2.275  0.059  0.000  0.505  0.098  0.015 -0.157  0.105  0.035
#                      - Ful+08 TAXO=RR 
33340-1998VG44          Res-3:2  14   1  6.265  0.072 19.741  2.874  0.955  0.050  0.025  0.555  0.039  0.019  0.598  0.098  0.077 ------ ------ ------  0.398  0.128  0.009  0.010  0.078  0.000
#                      - Ful+08 TAXO=IR 
#                        Lel+13 nodate ThermalIR tel=S+H hmag=6.67 0.04 emi=0.9 - diam=248 -41 +43 pV=0.063 -0.017 +0.026 freeta=1.55 -0.38 +0.58 
34785-2001RG87          JTrojan   1   1 12.538  0.076  4.113  1.599  0.728  0.050  0.000  0.386  0.043  0.000  0.419  0.060  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
35671-1998SN165         Class-c   7   1  5.684  0.320  6.856  3.068  0.712  0.095  0.062  0.444  0.078  0.042  0.437  0.083  0.037  1.270  0.050  0.000 ------ ------ ------ ------ ------ ------
#                      - Ful+08 TAXO=BB 
#                        Vil+14 nodate ThermalIR tel=S+H hmag=5.707 0.085 emi=0.9 - diam=393 -38 +39 pV=0.06 -0.013 +0.019 fixeta=1.23 -0.35 +0.35 Fixed-adjusted eta 
#
38083-Rhadamanth        Class-h   1   1  7.424  0.063 11.287  3.072  0.650  0.085  0.000  0.527  0.069  0.000  0.412  0.075  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Ful+08 TAXO=BR 
#                        MPC nodate 1999 HX11 
38084-1999HB12          Reson.    3   1  6.625  0.079 15.815  3.668  0.893  0.064  0.023  0.544  0.065  0.031  0.481  0.094  0.069 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Ful+08 TAXO=BR 
38628-Huya              Res-3:2  60   1  4.668  0.099 22.400  2.192  0.963  0.042  0.012  0.609  0.090  0.014  0.593  0.055  0.039  1.970  0.050  0.000  0.330  0.109  0.077 ------ ------ ------
#                      - For+13 nodate ThermalIR tel=S+H hmag=5.04 0.03 emi=0.9 - diam=458 -9.2 +9.2 pV=0.083 -0.004 +0.004 freeta=0.93 -0.02 +0.02 Includes SPIRE 
#                        Ful+08 TAXO=IR 
#                        MPC nodate 2000 EB173 
#                        Pei+12 g SPECTRUM=Featureless 
39285-2001BP75          JTrojan   1   1 ------ ------ -0.195  1.869  0.810  0.059  0.000  0.381  0.044  0.000  0.291  0.067  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
40314-1999KR16          Scatter   6   1  5.605  0.092 42.032  2.385  1.123  0.083  0.056  0.738  0.057  0.041  0.750  0.040  0.012 ------ ------ ------  0.560  0.071  0.000  0.020  0.071  0.000
#                      - Ful+08 TAXO=RR 
#                        SaS+12 nodate ThermalIR tel=H hmag=5.37 0.08 emi=0.9 - diam=254 -37 +37 pR=0.204 -0.05 +0.07 fixeta=1.2 -0.35 +0.35 
#
42301-2001UR163         Reson.    9   1  3.876  0.102 45.205  2.882  1.290  0.109  0.090  0.839  0.044  0.011  0.673  0.121  0.107  2.381  0.058  0.013  0.476  0.115  0.023 ------ ------ ------
#                      - Ful+08 TAXO=RR 
#                        Pei+12 g SPECTRUM=Featureless 
42355-Typhon            Scatter  15   2  7.257  0.071 12.215  1.832  0.758  0.039  0.018  0.518  0.029  0.009  0.378  0.094  0.053  1.560  0.045  0.000  0.406  0.087  0.049  0.160  0.071  0.000
#                      - Ful+08 TAXO=BR 
#                        Pei+12 h SPECTRUM=Water ice 
#                        SaS+12 nodate ThermalIR tel=S+H hmag=7.72 0.04 emi=0.9 - diam=185 -7 +7 pV=0.044 -0.003 +0.003 freeta=1.48 -0.07 +0.07 
42355-Typhon+B          Scatter   1   2 ------ ------  9.763  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
43212-2000AL113         JTrojan   1   1 ------ ------  2.314  1.748 ------ ------ ------  0.402  0.043  0.000  0.343  0.064  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
44594-1999OX3           Scatter  34   1  7.054  0.084 34.133  2.125  1.138  0.067  0.019  0.708  0.052  0.013  0.640  0.067  0.022  2.217  0.127  0.099  0.392  0.105  0.060 -0.000  0.099  0.030
#                      - Ful+08 TAXO=RR 
#                        Lel+13 nodate ThermalIR tel=S+H hmag=7.718 0.092 emi=0.9 - diam=135 -12 +13 pV=0.081 -0.015 +0.018 freeta=1.04 -0.22 +0.27 
#                        Pei+12 i SPECTRUM=Water ice 
#
45802-2000PV29          Class-c   2   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------  0.428  0.291  0.030 ------ ------ ------
47171-Lempo             Res-3:2  24   1  4.865  0.060 29.334  1.738  1.029  0.047  0.016  0.693  0.032  0.009  0.619  0.049  0.021  2.215  0.101  0.073  0.337  0.092  0.019  0.009  0.090  0.016
#                      - Ful+08 TAXO=RR 
#                        Mom+12 nodate ThermalIR tel=S+H hmag=5.41 0.1 emi=0.9 - diam=393.1 -26.8 +25.2 pV=0.079 -0.011 +0.013 freeta=1.1 -0.08 +0.07 
#                        MPC nodate 1999 TC36 
#                        Pei+12 h SPECTRUM=Water ice 
#                        PPP+09 SPECTRO=H2O MODELING=Intimate mixture Triton tholin+Titan tholin+serpentine+Triton tholin diluted in water ice SCATTERING=Hapke 
47171-Lempo+B           Res-3:2   1   1 ------ ------ 19.177  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
47932-2000GN171         Res-3:2  15   1  5.923  0.267 26.270  1.851  0.960  0.063  0.033  0.607  0.042  0.016  0.617  0.054  0.000  1.711  0.079  0.042  0.365  0.108  0.012  0.060  0.099  0.000
#                      - Ful+08 TAXO=IR 
#                        Mom+12 nodate ThermalIR tel=S+H hmag=6.45 0.34 emi=0.9 - diam=147.1 -17.8 +20.7 pV=0.215 -0.07 +0.093 freeta=1.11 -0.21 +0.24 
#                        Pei+12 h SPECTRUM=Featureless 
47967-2000SL298         JTrojan   1   1 11.830  0.113 11.415  2.726  0.899  0.058  0.000  0.489  0.069  0.000  0.476  0.102  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#
48249-2001SY345         JTrojan   1   1 12.561  0.072 11.716  1.707  0.758  0.050  0.000  0.530  0.037  0.000  0.420  0.060  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
48252-2001TL212         JTrojan   1   1 12.739  0.153  8.694  3.314  0.949  0.100  0.000  0.467  0.093  0.000  0.436  0.129  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
48639-1995TL8           Scatter   5   1  4.666  0.087 22.529  6.004  1.008  0.159  0.152  0.621  0.091  0.084  0.551  0.120  0.112  2.420  0.050  0.000  0.412  0.131  0.021 -0.020  0.085  0.000
#                      - Ful+08 TAXO=RR 
#                        Lel+13 nodate ThermalIR tel=S+H hmag=5.29 0.06 emi=0.9 - diam=244 -63 +82 pV=0.231 -0.102 +0.189 freeta=1.38 -0.49 +0.8 
49036-Pelion            Centaur   3   1 10.436  0.247  8.734  3.519  0.746  0.080  0.020  0.556  0.078  0.055  0.368  0.102  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Ful+08 TAXO=BR 
50000-Quaoar            Class-h   5   2  2.217  0.029 29.224  1.706  0.958  0.035  0.029  0.650  0.020  0.014  0.610  0.028  0.000  2.180  0.058  0.000  0.360  0.050  0.000  0.030  0.057  0.000
#                      - DOCM+09 MODELING=Intimate mixture crystalline H2O(contaminated molecularly by Triton tholin)+amorphous H2O+CH4 (contaminated molecularly by Triton and Titan tholin)+N2+C2H6+Triton tholin+Titan tholin RANGE=(0.4-4.5)mu SCATTERING=Shkuratov SPECTRO=H2O TAXO=RR 
#                        For+13 bulk density for A+B density=2.18+0.43-0.36 
#                        For+13 nodate ThermalIR tel=S+H hmag=2.73 0.06 emi=0.9 - diam=1073.6 -37.9 +37.9 pV=0.127 -0.009 +0.01 freeta=1.73 -0.08 +0.08 
#                        MPC nodate 2002 LM60 
#                        Pei+12 h SPECTRUM=Methane 
#
51359-2000SC17          JTrojan   1   1 11.981  0.233  7.745  5.725  0.864  0.201  0.000  0.447  0.131  0.000  0.438  0.210  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
52747-1998HM151         Class-c   1   1  7.413  0.100 24.891  4.691  0.930  0.090  0.000  0.620  0.050  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
52872-Okyrhoe           Centaur  22   1 10.796  0.078 11.501  2.017  0.743  0.065  0.047  0.495  0.042  0.016  0.480  0.061  0.028 ------ ------ ------  0.456  0.068  0.036  0.144  0.082  0.024
#                      - Duf+14 nodate ThermalIR tel=S+H hmag=11.07 0.1 emi=0.9 - diam=35 -3 +3 pV=0.056 -0.01 +0.012 freeta=0.71 -0.13 +0.12 
#                        Ful+08 TAXO=BR 
#                        Pei+12 g SPECTRUM=Water ice 
52975-Cyllarus          Centaur  10   1  8.642  0.100 32.286  3.654  1.096  0.095  0.047  0.680  0.085  0.035  0.669  0.090  0.033  2.425  0.077  0.000  0.450  0.092  0.000 -0.100  0.085  0.000
#                      - Duf+14 nodate ThermalIR tel=S hmag=9.02 0.15 emi=0.9 - diam=56 -18 +21 pV=0.139 -0.064 +0.157 fixeta=1.2 -0.35 +0.35 
#                        Ful+08 TAXO=RR 
53469-2000AX8           JTrojan   1   1 ------ ------  0.771  1.818  0.663  0.051  0.000  0.356  0.045  0.000  0.361  0.067  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#
54520-2000PJ30          Scatter   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------  0.410  0.304  0.000 ------ ------ ------
54598-Bienor            Centaur  16   1  7.588  0.104  8.793  2.427  0.711  0.059  0.019  0.476  0.046  0.009  0.400  0.079  0.052  1.684  0.091  0.066  0.379  0.078  0.027  0.153  0.099  0.043
#                      - Duf+14 nodate ThermalIR tel=S+H hmag=7.57 0.34 emi=0.9 - diam=198 -7 +6 pV=0.043 -0.012 +0.016 freeta=1.58 -0.07 +0.07 
#                        Ful+08 TAXO=BR 
#                        Pei+12 h SPECTRUM=Methanol 
55565-2002AW197         Class-h  11   1  3.121  0.050 21.861  1.417  0.915  0.035  0.018  0.589  0.030  0.015  0.581  0.037  0.014  1.740  0.054  0.000  0.329  0.070  0.016  0.215  0.094  0.063
#                      - Ful+08 TAXO=IR 
#                        Pei+12 h SPECTRUM=Featureless 
#                        RB07 FAMILY=2003EL61 SPECTRUM=No water ice 
#                        Vil+14 nodate ThermalIR tel=S+H hmag=3.568 0.046 emi=0.9 - diam=768 -38 +39 pV=0.112 -0.011 +0.012 freeta=1.29 -0.1 +0.13 
55576-Amycus            Centaur  23   1  7.738  0.048 33.744  1.803  1.111  0.034  0.006  0.705  0.032  0.008  0.666  0.047  0.023 ------ ------ ------  0.299  0.077  0.026  0.004  0.064  0.005
#                      - Duf+14 nodate ThermalIR tel=S+H hmag=8.27 0.11 emi=0.9 - diam=104 -8 +8 pV=0.083 -0.015 +0.016 freeta=1 -0.13 +0.12 
#                        Ful+08 TAXO=RR 
55636-2002TX300         Class-h   9   1  3.241  0.043 -0.195  1.513  0.679  0.038  0.026  0.359  0.024  0.009  0.323  0.041  0.027 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Ful+08 TAXO=BB 
#                        Lel+13 nodate ThermalIR tel=S+H hmag=3.509 0.076 emi=0.9 - diam=286 -10 +10 pV=0.88 -0.06 +0.15 freeta=1.15 -0.74 +0.55 Size and albedo from occultation (2010Natur.465..897E) 
#                        Lic+06 FAMILY=2003EL61 MODELING=Areal mixture water ice+olivine+amorphous carbon RANGE=(0.5-2.2)mu SCATTERING=Shkuratov SPECTRO=H2O TAXO=BB 
#                        Pei+12 q SPECTRUM=Water ice 
#                        Rab+08 BETA=0.076 0.029 
#                        Rab+08 FAMILY=2003EL61 
#                        RB07 FAMILY=2003EL61 SPECTRUM=Strong water ice 
#
55637-2002UX25          Class-h  12   2  3.521  0.034 15.798  1.269  0.979  0.038  0.023  0.552  0.026  0.010 ------ ------ ------ ------ ------ ------  0.352  0.072  0.052  0.040  0.072  0.000
#                      - For+13 nodate ThermalIR tel=S+H hmag=3.87 0.02 emi=0.9 - diam=697.2 -24.5 +23 pV=0.107 -0.008 +0.005 freeta=1.07 -0.05 +0.08 
#                        Ful+08 TAXO=IR 
#                        Pei+12 g SPECTRUM=Water ice 
55638-2002VE95          Res-3:2  10   1  5.150  0.050 38.547  2.722  1.094  0.052  0.021  0.733  0.038  0.009  0.760  0.120  0.000  2.220  0.057  0.000  0.364  0.072  0.022  0.035  0.075  0.008
#                      - BAR+06 MODELING=Intimate mixture amorphous H2O+CH3OH+Titan tholin+Triton tholin+amorphous carbon+olivine RANGE=(0.4-2.4)mu SCATTERING=Shkuratov SPECTRO=H2O+CH3OH TAXO=RR 
#                        BAR+06 MODELING=Intimate mixture amorphous H2O+CH3OH+Titan tholin+Triton tholin+amorphous carbon RANGE=(0.4-2.4)mu SCATTERING=Hapke SPECTRO=H2O+CH3OH TAXO=RR 
#                        Ful+08 TAXO=RR 
#                        Mom+12 nodate ThermalIR tel=S+H hmag=5.7 0.06 emi=0.9 - diam=249.8 -13.1 +13.5 pV=0.149 -0.016 +0.019 freeta=1.4 -0.11 +0.12 
#                        Pei+12 g SPECTRUM=Methanol 
56968-2000SA92          JTrojan   1   1 11.550  0.059 13.013  1.374  0.986  0.040  0.000  0.494  0.033  0.000  0.509  0.049  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
58534-Logos             Class-c   7   2  6.754  0.181 26.351  4.789  0.990  0.127  0.000  0.729  0.120  0.064  0.602  0.119  0.015 ------ ------ ------  0.498  0.340  0.132 ------ ------ ------
#                      - Ful+08 TAXO=RR 
#                        MPC nodate 1997 CQ29 
58534-Logos+B           Class-c   1   2 ------ ------ 17.578  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#
59358-1999CL158         Scatter   1   1  6.650  0.090  5.546  2.064  0.800  0.060  0.000  0.390  0.040  0.000  0.470  0.060  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Ful+08 TAXO=BR 
60454-2000CH105         Class-c   2   1  6.371  0.093 25.350  3.158  1.019  0.086  0.000  0.643  0.096  0.048  0.583  0.095  0.061 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Ful+08 TAXO=RR 
60458-2000CM114         Detachd   2   2  6.969  0.040 11.545  1.858  0.730  0.020  0.000  0.500  0.020  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
60458-2000CM114+B       Detachd   1   2 ------ ------ 13.041  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
60558-Echeclus          Centaur  12   1  9.501  0.125 11.324  3.273  0.841  0.072  0.023  0.502  0.065  0.021  0.486  0.095  0.034  1.480  0.072  0.000  0.466  0.125  0.100  0.340  0.083  0.000
#                      - Duf+14 nodate ThermalIR tel=S+H hmag=9.78 0.14 emi=0.9 - diam=65 -2 +2 pV=0.052 -0.007 +0.007 freeta=0.86 -0.04 +0.04 
#                        Ful+08 TAXO=BR 
#                        J09 aka 174P 
#                        J09 Cometary activity, burst late 2005, complex coma 
#
60608-2000EE173         Scatter   3   1  8.135  0.179 13.198  1.827  0.665  0.032  0.015  0.488  0.029  0.005  0.543  0.056  0.007 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Ful+08 TAXO=BR 
60620-2000FD8           Reson.    3   1  6.500  0.221 30.813  3.016  1.151  0.110  0.021  0.664  0.078  0.012  0.648  0.070  0.033 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Ful+08 TAXO=RR 
60621-2000FE8           Reson.    3   2  6.503  0.062 11.433  1.500  0.750  0.024  0.000  0.480  0.020  0.000  0.500  0.050  0.000 ------ ------ ------  0.470  0.277  0.000 ------ ------ ------
#                      - Ful+08 TAXO=BR 
63252-2001BL41          Centaur  11   1 11.058  0.064 13.807  2.421  0.718  0.049  0.043  0.509  0.044  0.015  0.381  0.160  0.151 ------ ------ ------  0.365  0.071  0.005  0.255  0.101  0.054
#                      - Duf+14 nodate ThermalIR tel=S hmag=11.34 0.21 emi=0.9 - diam=34.6 -6.1 +6.6 pV=0.043 -0.014 +0.028 fixeta=1.2 -0.35 +0.35 
#                        Ful+08 TAXO=BR 
65150-2002CA126         JTrojan   1   1 ------ ------  3.241  1.724  0.651  0.051  0.000  0.377  0.044  0.000  0.407  0.064  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#
65225-2002EK44          JTrojan   1   1 ------ ------  1.982  1.783  0.693  0.052  0.000  0.401  0.044  0.000  0.334  0.065  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
65407-2002RP120         Scatter   3   1 12.813  0.060 11.696  1.483  0.846  0.033  0.016  0.489  0.028  0.009  0.484  0.034  0.022 ------ ------ ------ ------ ------ ------ ------ ------ ------
65489-Ceto              Scatter   9   2  6.288  0.062 14.362  2.974  0.879  0.052  0.016  0.547  0.050  0.011  0.411  0.153  0.105 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Pei+12 g SPECTRUM=Water ice 
#                        SaS+12 nodate ThermalIR tel=S+H hmag=6.54 0.06 emi=0.9 - diam=281 -11 +11 pV=0.056 -0.006 +0.006 freeta=1.04 -0.05 +0.05 
65489-Ceto+B            Scatter   1   2 ------ ------ 13.527  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
66452-1999OF4           Class-c   3   1  6.325  0.080 26.708  3.878  1.032  0.106  0.000  0.673  0.083  0.000  0.601  0.080  0.000 ------ ------ ------  0.380  0.253  0.000 ------ ------ ------
#                      - Ful+08 TAXO=RR 
#
66652-Borasisi          Class-c   8   2  5.422  0.056 33.831  2.714  0.820  0.170  0.000  0.646  0.058  0.000  0.647  0.062  0.000  2.010  0.067  0.000  0.457  0.162  0.054  0.100  0.094  0.000
#                      - Ful+08 TAXO=RR 
#                        MPC nodate 1999 RZ253 
#                        Vil+14 nodate ThermalIR tel=S+H hmag=6.121 0.07 emi=0.9 - diam=163 -66 +32 pV=0.236 -0.077 +0.438 freeta=0.77 -0.47 +0.19 
66652-Borasisi+B        Class-c   1   2 ------ ------ 41.482  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
69986-1998WW24          Res-3:2   3   1  7.968  0.085 17.966  2.895  0.756  0.112  0.071  0.463  0.081  0.047  0.659  0.104  0.074 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Ful+08 TAXO=BR 
69987-1998WA25          Class-c   1   1 ------ ------ 17.056  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
69988-1998WA31          Reson.    2   1  7.356  0.122 13.652  6.704  0.786  0.129  0.000  0.492  0.133  0.033  0.530  0.183  0.118 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Ful+08 TAXO=BR 
#                        MPC08 Resonant 2:5 
#
69990-1998WU31          Res-3:2   1   1  8.209  0.073 23.278  3.272  0.720  0.089  0.000  0.505  0.086  0.000  0.722  0.087  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Ful+08 TAXO=RR 
73480-2002PN34          Scatter  13   1  8.499  0.047 12.181  1.208  0.818  0.095  0.094  0.514  0.036  0.023 ------ ------ ------  1.680  0.058  0.000  0.458  0.098  0.036  0.200  0.078  0.000
#                      - Pei+12 j SPECTRUM=Water ice 
#                        SaS+12 nodate ThermalIR tel=S+H hmag=8.66 0.03 emi=0.9 - diam=112 -7 +7 pV=0.049 -0.006 +0.006 freeta=1.02 -0.09 +0.07 
76804-2000QE            JTrojan   1   1 12.127  0.135  7.871  2.878  0.803  0.082  0.000  0.446  0.070  0.000  0.443  0.106  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
78799-2002XW93          Class-h   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Vil+12 nodate ThermalIR tel=H hmag=5.4 0.7 emi=0.9 - diam=565 -73 +71 pV=0.038 -0.025 +0.043 freeta=0.79 -0.24 +0.27 
79360-Sila-Nunam        Class-c  16   2  4.989  0.060 28.475  2.382  1.055  0.079  0.036  0.666  0.054  0.025  0.609  0.057  0.033  2.073  0.134  0.087  0.356  0.150  0.022  0.104  0.176  0.106
#                      - Ful+08 TAXO=RR 
#                        MPC nodate 1997 CS29 
#                        Pei+12 k SPECTRUM=Featureless 
#                        Vil+12 nodate ThermalIR tel=S+H hmag=5.56 0.04 emi=0.9 - diam=343 -42 +42 pV=0.09 -0.017 +0.027 freeta=1.36 -0.19 +0.21 
#
79360-Sila-Nunam+B      Class-c   1   2 ------ ------ 31.690  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
79978-1999CC158         Reson.    2   1  5.353  0.097 24.869  2.974  0.996  0.066  0.022  0.611  0.052  0.027  0.619  0.075  0.046 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Ful+08 TAXO=IR 
79983-1999DF9           Class-h   1   1  5.792  0.110 33.944  2.164  0.920  0.060  0.000  0.710  0.050  0.000  0.650  0.060  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Ful+08 TAXO=RR 
80806-2000CM105         Class-c   2   2 ------ ------ 32.348  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------  0.360  0.256  0.000 ------ ------ ------
82075-2000YW134         Reson.   14   1  4.381  0.046 16.483  2.187  0.922  0.053  0.018  0.503  0.052  0.032  0.581  0.059  0.034 ------ ------ ------  0.358  0.153  0.022 ------ ------ ------
#                      - Ful+08 TAXO=BR 
#
82155-2001FZ173         Scatter   9   1  5.807  0.024 15.975  1.446  0.864  0.023  0.004  0.546  0.026  0.015  0.508  0.036  0.018 ------ ------ ------  0.171  0.118  0.000 ------ ------ ------
#                      - Ful+08 TAXO=IR 
82158-2001FP185         Scatter   8   1  5.941  0.054 16.010  2.281  0.820  0.048  0.025  0.572  0.038  0.016  0.458  0.078  0.056 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Ful+08 TAXO=IR 
#                        SaS+12 nodate ThermalIR tel=S+H hmag=6.39 0.07 emi=0.9 - diam=332 -24 +31 pV=0.046 -0.007 +0.007 freeta=1.23 -0.19 +0.24 
83982-Crantor           Centaur  18   1  8.644  0.057 39.225  1.992  1.105  0.042  0.018  0.761  0.039  0.012  0.667  0.055  0.006 ------ ------ ------  0.380  0.067  0.011 -0.140  0.064  0.000
#                      - Duf+14 nodate ThermalIR tel=S hmag=9.03 0.16 emi=0.9 - diam=59 -12 +11 pV=0.121 -0.038 +0.064 fixeta=1.2 -0.35 +0.35 
#                        Ful+08 TAXO=RR 
84522-2002TC302         Reson.    4   1  3.718  0.025 29.739  1.432  1.067  0.050  0.044  0.655  0.025  0.015  0.660  0.020  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - For+13 nodate ThermalIR tel=S+H hmag=4.17 0.1 emi=0.9 - diam=584.1 -88 +105.6 pV=0.115 -0.033 +0.047 freeta=1.09 -0.25 +0.37 
#                        MPC08 Resonant 2:5 
#                        Pei+12 g SPECTRUM=Water ice 
#                        Rab+08 BETA=0.118 0.040 
84709-2002VW120         JTrojan   1   1 12.476  0.158 12.794  3.419  0.855  0.087  0.000  0.462  0.090  0.000  0.548  0.130  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#
