Object                  Class  Epo  Mult M11    M11_s Grt     Grt_s  BV     BVs    BVd    VR     VRs    VRd    RI     RIs    RId   VJ     VJs    VJd    JH     JHs    JHd    HK     HKs    HKd      
1999HJ12                Class-c   2   1 ------ ------ 30.391  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------  0.480  0.598  0.000 ------ ------ ------
1999HS11                Class-c   3   1  6.326  0.079 31.102  3.766  1.121  0.082  0.030  0.698  0.056  0.024  0.600  0.090  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Ful+08 TAXO=RR 
1999HV11                Class-c   1   1  6.997  0.050 21.706  2.057  1.110  0.060  0.000  0.590  0.020  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
1999LE31                Centaur   2   1 12.638  0.214 12.083  1.843  0.748  0.038  0.004  0.467  0.042  0.027  0.521  0.046  0.024 ------ ------ ------ ------ ------ ------ ------ ------ ------
1999OD4                 Class-h   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------  0.460  0.282  0.000 ------ ------ ------
#
1999OH4                 Class-h   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------  0.330  0.328  0.000 ------ ------ ------
#                      - RB07 FAMILY=2003EL61 IR colors inconsistent with family 
1999OJ4                 Class-c   5   2  6.914  0.062 26.192  3.113  1.098  0.157  0.125  0.668  0.072  0.020  0.549  0.073  0.010 ------ ------ ------  0.230  0.197  0.000 ------ ------ ------
#                      - Ful+08 TAXO=RR 
1999OJ4+B               Class-c   1   2 ------ ------ 34.360  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
1999RC215               Class-c   2   1  6.576  0.126 33.893  4.703 ------ ------ ------  0.810  0.134  0.000  0.520  0.120  0.000 ------ ------ ------  0.320  0.225  0.000 ------ ------ ------
1999RT214               Class-c   1   1 ------ ------ 35.732  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#
1999RX214               Class-h   3   1  6.418  0.052 20.207  2.817  1.054  0.072  0.000  0.593  0.065  0.000  0.530  0.066  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Ful+08 TAXO=RR 
1999TR11                Res-3:2   2   1  8.150  0.152 37.093  4.048  1.020  0.080  0.000  0.750  0.097  0.000  0.650  0.122  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
1999XY143               Class-h   1   2  5.926  0.065 26.014  2.399 ------ ------ ------  0.590  0.071  0.000  0.660  0.064  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
2000AF255               Detachd   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------  0.460  0.265  0.000 ------ ------ ------
2000CE105               Class-c   2   1 ------ ------ 14.512  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------  0.160  0.184  0.000 ------ ------ ------
#
2000CF105               Class-c   6   2 ------ ------ 24.245  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------  0.400  0.266  0.000 ------ ------ ------
2000CF105+B             Class-c   1   2 ------ ------ 21.377  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
2000CG105               Class-h   2   1  6.655  0.136 18.711  4.970 ------ ------ ------  0.530  0.149  0.000  0.590  0.142  0.000 ------ ------ ------  0.510  0.298  0.000 ------ ------ ------
#                      - RB07 FAMILY=2003EL61 IR colors inconsistent with family 
#                        SNO+10 magR FAMILY=2003EL61 LIGHTCURVE==0.45 
2000CK105               Res-3:2   2   1  6.367  0.118 25.479  4.225 ------ ------ ------  0.590  0.127  0.000  0.650  0.114  0.000 ------ ------ ------  0.390  0.256  0.000 ------ ------ ------
2000CL104               Class-c   4   1  6.638  0.229 23.634  4.673  1.223  0.167  0.000  0.600  0.119  0.058  0.612  0.128  0.089 ------ ------ ------  0.450  0.285  0.000 ------ ------ ------
#                      - Ful+08 TAXO=RR 
#
2000CO105               Class-h   2   1  5.593  0.078 22.327  2.904 ------ ------ ------  0.620  0.085  0.000  0.550  0.078  0.000 ------ ------ ------  0.380  0.228  0.000 ------ ------ ------
2000CP104               Class-h   2   1 ------ ------ 18.106  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------  0.440  0.289  0.000 ------ ------ ------
2000FS53                Class-c   2   1  7.295  0.080 34.603  1.976  1.060  0.040  0.000  0.710  0.020  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
2000FV53                Res-3:2   1   1  7.543  0.087 17.018  4.070 ------ ------ ------  0.448  0.094  0.000  0.679  0.116  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
2000FZ53                Centaur   2   1 10.974  0.085 14.413  3.939 ------ ------ ------  0.686  0.090  0.000  0.238  0.103  0.050 ------ ------ ------ ------ ------ ------ ------ ------ ------
#
2000GM137               Centaur   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Duf+14 nodate ThermalIR tel=S hmag=14.36 0.38 emi=0.9 - diam=8.6 -1.5 +1.5 pV=0.043 -0.016 +0.026 fixeta=1.2 -0.35 +0.35 
2000GV146               Class-c   1   1 ------ ------ 35.732  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
2000HE46                Centaur   1   1 16.213  0.020 12.317  3.210  0.870  0.060  0.000  0.550  0.070  0.000  0.400  0.060  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
2000KK4                 Class-h   3   1  5.978  0.103 17.291  2.477  0.910  0.040  0.000  0.580  0.102  0.091  0.640  0.064  0.000  1.790  0.106  0.000 ------ ------ ------ ------ ------ ------
2000KL4                 Class-h   1   1 ------ ------ 27.864  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#
2000OU69                Class-c   3   1  6.840  0.120 10.128  0.000 ------ ------ ------  0.473  0.130  0.021 ------ ------ ------ ------ ------ ------  0.400  0.235  0.000 ------ ------ ------
2000PD30                Class-c   2   1 ------ ------ 19.719  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------  0.560  0.336  0.000 ------ ------ ------
2000PH30                Detachd   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------  0.550  0.361  0.000 ------ ------ ------
2000QL251               Class-h   1   2 ------ ------  6.266  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - MPC08 Resonant 1:2 
2000QL251+B             Class-h   1   2 ------ ------ 12.082  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#
2001FL185               Class-c   1   1 ------ ------ 23.082  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
2001FM194               Detachd   1   1  7.575  0.040  7.035  2.909  0.760  0.030  0.000  0.440  0.030  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
2001KA77                Class-h   5   1  5.048  0.094 37.758  3.264  1.104  0.107  0.062  0.704  0.064  0.024  0.716  0.120  0.103 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Ful+08 TAXO=RR 
#                        Vil+14 nodate ThermalIR tel=S+H hmag=5.64 0.12 emi=0.9 - diam=310 -60 +170 pV=0.099 -0.056 +0.052 freeta=2.52 -0.83 +0.18 
2001KD77                Res-3:2  10   1  5.922  0.104 24.005  2.575  1.123  0.054  0.006  0.624  0.070  0.024  0.565  0.069  0.023  2.294  0.092  0.025  0.366  0.141  0.014 ------ ------ ------
#                      - Ful+08 TAXO=RR 
#                        Mom+12 nodate ThermalIR tel=H hmag=6.42 0.08 emi=0.9 - diam=232.3 -39.4 +40.5 pV=0.089 -0.027 +0.044 fixeta=1.2 -0.35 +0.35 
2001KG77                Scatter   1   1  8.335  0.120  7.032  5.595  0.810  0.040  0.000  0.440  0.060  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#
2001KY76                Res-3:2   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------  0.390  0.228  0.000 ------ ------ ------
2001OG109               Class-c   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------  0.350  0.300  0.000 ------ ------ ------
2001OK108               Class-c   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------  0.430  0.275  0.000 ------ ------ ------
2001QC298               Class-h   4   2  6.424  0.030 10.332  2.434  0.750  0.080  0.000  0.490  0.030  0.000  0.480  0.040  0.000 ------ ------ ------  0.430  0.323  0.000 ------ ------ ------
#                      - RB07 FAMILY=2003EL61 IR colors inconsistent with family 
#                        SNO+10 magR FAMILY=2003EL61 LIGHTCURVE==0.4 
#                        Vil+14 nodate ThermalIR tel=S hmag=6.26 0.32 emi=0.9 - diam=303 -30 +27 pV=0.061 -0.017 +0.027 freeta=0.985 -0.095 +0.084 
2001QC298+B             Class-h   1   2 ------ ------  6.266  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#
2001QR322               Reson.    1   1 ------ ------  6.254  1.266  0.800  0.030  0.000  0.460  0.020  0.000  0.360  0.030  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - MPC08 Resonant 1:1 
#                        ST06 Neptune trojan 
