# File: All_Surveys_v11-free-cla_m.detections-full
# 
# Creation time: 2021-03-02T16:40:53.000  +0100
# 
# Colors used
# 
# 0.90e0 0.0e0 -0.5e0 -1.0e0 1.5e0 1.2e0  0.8e0 -0.1e0 -0.5e0 0.0e0
# 0.60e0 0.0e0 -0.5e0 -1.0e0 1.5e0 1.2e0  0.8e0 -0.1e0 -0.5e0 0.0e0
# 
# Grid size:
# h_step:  0.1
# a_step:  0.2
# q_step:  0.2
# si_step: 0.001
# 
          a          e        i    ifree     Omega    Omfree     omega    omfree        tperi    cl      object       MPC  
  42.741828   0.055569    2.245    2.912   161.749   129.732   259.188   215.311    60615.972   cla      o5c047   K15VG9D  
  43.798937   0.075032    1.301    0.545    78.092   197.399   327.655   123.062    55587.706   cla      o5c048   K15VG9T  
  42.900078   0.060726    2.885    3.779    178.11   131.295   261.194   230.171    65178.257   cla      o5c049   K15VG9J  
  40.675129   0.012353   28.118     30.5   222.555   195.347    74.974    76.365    28511.137   cla      o5c050   K15VG9M  
  45.556838   0.096773    0.768    2.101   207.642   160.588   182.975   136.996    51527.312   cla    o5c051PD   K04VD1A  
  42.782497    0.02157    1.757    1.526   123.564   122.363   270.781   195.584    53460.412   cla      o5c053   K15VG8Y  
  44.883549   0.079536   24.682    25.97   228.418   140.247   147.876   145.266    47595.413   cla      o5c054   K15VG4B  
  42.508478    0.02783    1.588    0.718    56.809   216.822   290.899    58.364    39845.338   cla      o5c055   K15VG9U  
  43.785841   0.049222    1.333    2.684   201.496   153.546   257.948   220.671    69760.241   cla    o5c056PD   K14Wo9D  
  43.870306   0.038939    2.176    0.552    97.491    53.485   330.021   288.305    62448.671   cla      o5c057   K15VG9A  
  43.592476   0.052486    1.457     0.49    73.229    213.56   278.818     54.54    41461.132   cla      o5c058   K15VH0C  
  43.481336   0.047683    1.638    1.986   152.062   129.676   193.434   132.639    39096.631   cla      o5c059   K15VH0A  
  44.778813   0.062891    1.305    1.222   135.469   130.563   321.324   236.109    69443.833   cla      o5c060   K15VH0H  
  45.648463   0.116027    3.782    2.255   110.649    29.929   235.708   223.074    41449.108   cla      o5c061   K15VG9O  
  45.486742   0.060892    2.119    0.511    85.597   328.767   325.654    349.71    58137.305   cla      o5c062   K15VG8V  
  42.502805   0.034279    6.173    4.078     77.13     7.099   219.009   216.589    27033.586   cla      o5c063   K15VG9N  
  43.358884   0.045477    2.214    0.784   102.215    75.085   226.336   171.244    34641.468   cla      o5c065   K15VH0K  
  42.878592   0.026925    2.522    1.248   106.701     79.92    42.947   352.166    85390.894   cla      o5c066   K15VG9H  
  43.384209   0.041103    1.446    0.487    74.333   204.659   253.846    41.111    34208.187   cla      o5c067   K15VG9S  
  42.671116   0.041502    1.954    0.763    96.739   107.679   201.596   115.735    27518.049   cla      o5c068   K15VG8W  
  44.311039   0.033235    2.527    1.397   120.109    73.813   241.068   199.301    44185.878   cla      o5c069   K15VG9E  
  46.070342   0.128313    5.928     4.36    80.462    340.43    39.492    44.807    74879.976   cla      o5c070   K15VH0P  
  42.768624   0.021387     2.25    0.422    66.753   298.957   113.883   165.486    93239.985   cla      o5c071   K15VH0F  
  43.789675   0.009394    2.938    1.651   115.585    64.007   335.068   301.391    68282.174   cla      o5c072   K15VH0B  
  45.290384   0.035223    1.202    2.632   223.535   159.978   187.603    159.07    57967.728   cla      o5c073   K15VG8T  
   46.57336   0.054506    2.181     1.15   127.289    77.254   271.757   225.458    54728.203   cla      o5c074   K15VG9G  
  43.114349    0.02774    2.651    0.785    72.359   333.129   124.216   143.403    99270.474   cla      o5c075   K15VG8X  
  44.353078   0.072326    1.159    1.597   151.086   139.772   347.614    270.67    81922.872   cla      o5c076   K15VG8U  
  42.679916   0.057988    3.594    2.003    47.989   305.362   223.839   251.466     18429.82   cla      o5c077   K15VG9P  
  42.858537   0.042749    4.756    2.771    74.172   354.623   138.283   140.532   102674.057   cla      o5c078   K15VH0J  
   43.85437    0.03213     0.71    1.359    43.886    200.36   244.621     2.533    21353.402   cla      o5c079   K15VG9Q  
  43.628314   0.035281     2.11    3.731   226.251   159.643    49.552    31.944    19203.466   cla      o5c080   K03UT1V  
  43.831154   0.060249    3.196    1.591   104.028    39.705   188.478   167.302     25284.74   cla      o5c081   K15VG9F  
  43.547398   0.043605    0.251    1.872    175.39   172.295    13.223   292.678    97114.119   cla      o5c082   K15VG8Q  
  43.929882   0.039121    2.909    1.457   109.776    53.376   162.685   133.008     17202.36   cla      o5c084   K15VH0O  
  45.493781   0.003942    2.003    1.164    57.278   268.283   120.124   176.334    97328.741   cla      o5c085   K15VG8P  
  43.907061   0.059127    3.182    1.559    68.722   322.873   124.723   144.659    97326.884   cla      o5c086   K15VG9X  
   44.40489   0.071256    1.676    0.281    79.335   251.572   207.216     306.5    22855.175   cla      o5c087   K15VG8R  
  42.992489   0.079931    3.004    1.189    65.549   324.582   180.694   202.862    10271.926   cla      o5c089   K15VG9V  
  43.801303   0.059868    2.335    1.328   119.838    85.104    123.23    72.641     9281.476   cla      o5c090   K15VG9K  
  44.893555   0.107904    7.085    5.528    69.579     332.7    98.037   104.383    90250.378   cla      o5c091   K15VG9L  
  45.766696   0.072047   24.686   25.971    233.76   142.212    67.194    64.771    24364.446   cla      o5c092   K15VG4A  
   45.26201   0.086875    1.684    1.418   141.856   114.741    32.426   327.548    92004.615   cla      o5c093   K15VG9Z  
  44.007446   0.080394    2.082    0.685   104.917    73.852   129.293    73.857     5936.316   cla      o5c094   K15VG9B  
  42.660466   0.155291   17.233   19.174    235.09   162.324    29.352    27.252    17942.056   cla      o5c097   K15VG9R  
  45.239276   0.180967   17.953   19.278   232.355   143.536   312.942   309.701    92763.816   cla      o5c098   K15VG9W  
  44.191848   0.150157    6.208    7.389   213.726   137.321    346.86   335.731    99881.889   cla      o5c099   K15VG8Z  
  45.660125   0.156735   10.118    8.895    54.194   314.126   219.171   225.954    18032.891   cla      o5c100   K15VH0D  
  46.858385   0.178802    3.495    2.395    60.975   300.471   133.477   156.827   100510.826   cla      o5c102   K15VG8S  
  42.519322    0.14142   10.578    8.658    51.219   333.482    39.739     44.85    65964.561   cla      o5d030   K15VH0Q  
  46.288908   0.167015   21.688   20.503    53.612   315.285   358.692     1.792    57689.361   cla      o5d040   K15VH1J  
  43.600825   0.110479    3.698    2.433     48.96   299.262   351.286     17.01    55182.092   cla      o5d043   K15VH2L  
   39.53649   0.017047    1.591    3.038    82.535   211.508   323.303    17.742    56529.679   cla      o5d044   K15VH2U  
  42.703718   0.097024   18.126   16.233    54.968   337.194    22.907    25.443    63729.636   cla      o5d045   K15VH1F  
  44.863004   0.152569   20.891   19.509    55.896   322.728   303.613    306.51    46086.778   cla      o5d053   K15VH3O  
  42.079587   0.117771     5.12    2.998    82.691    31.523    38.206    24.492    73430.505   cla      o5d054   K15VH2D  
  43.819722   0.088856    2.218    2.456   159.819   119.544   238.978   193.805    54831.396   cla      o5d057   K15VH3H  
  44.715067   0.101765    2.786     2.01   135.648    83.544   277.404   239.634    58235.003   cla      o5d058   K15VH3Q  
  45.303616   0.143256   25.675   24.431    51.232   316.703   315.632   318.286    47107.205   cla      o5d059   K15VG4C  
   45.97379   0.130814    1.937    3.378   235.787   159.012   196.995   179.329    62967.951   cla      o5d061   K15VH2K  
  45.892482   0.172108    2.735    3.127   181.582   119.097   285.457   253.745    70277.633   cla      o5d062   K15VH1V  
  42.381937   0.074441    3.022    4.046   171.971   132.933   299.383    267.89    72348.119   cla      o5d063   K03UT3K  
  41.436051   0.021303   18.179   15.704    50.277     2.357   317.939   317.613     46247.49   cla      o5d064   K15VH0S  
  44.368302   0.071761    1.949    0.208    89.804    14.126   330.969   318.333    60101.153   cla      o5d069   K15VH3D  
  44.857602   0.099183     2.46     1.05    69.884   304.705    22.071    56.836    67695.285   cla      o5d070   K15VH1H  
  43.919736   0.080571    1.448    1.055    50.024   233.762    53.344   143.618    71116.368   cla      o5d071   K15VH2J  
  44.216429   0.067028    3.008    1.614   113.346    54.068   330.924   302.602    66224.639   cla      o5d072   K15VH2A  
  43.207337   0.033363    3.465    3.338   151.031   102.579   265.006   232.486    59048.318   cla      o5d073   K15VH3T  
  43.343359   0.047729    2.355    3.012   172.008   128.557   190.049   151.377    44471.118   cla      o5d074   K15VH1T  
  43.339001   0.044892    3.941    2.076    76.353   349.148    26.419    31.582    71413.516   cla      o5d075   K15VH1P  
  46.535088   0.106701    2.792     3.83   214.309   139.964   230.922   209.031    66353.128   cla      o5d076   K15VH1D  
  44.068439   0.054999    2.864    1.088     88.54      4.53   275.246   272.435     44916.26   cla      o5d077   K15VH1O  
  42.931786   0.038034    1.208    2.657   189.284   154.897   150.117   106.336    38250.543   cla      o5d078   K15VH1A  
  42.552202   0.026293    3.255    1.171    71.562   355.449   256.513   259.429    35096.731   cla      o5d079   K15VH3B  
  43.171189   0.019965    1.768    1.169     43.86    244.78   321.646    40.157    44558.038   cla      o5d081   K15VH0Y  
  45.863269   0.077852    1.501    1.134    52.143   242.176   332.872    48.793    50695.837   cla      o5d082   K15VH2M  
  43.532166   0.032236     2.09    0.259    86.339    23.305   273.159   252.665    43638.519   cla      o5d083   K15VH2X  
  43.431514   0.021937    2.924    3.189   162.965   115.364   280.281   245.054    66357.516   cla      o5d084   K15VH2F  
  43.021812   0.010177    1.688    2.582   169.317   139.165   203.126   154.129    46874.938   cla      o5d085   K15VH3A  
  43.610134   0.019431    2.605    0.792    89.222    17.161   314.669   302.655    55422.056   cla      o5d087   K15VH1U  
  43.102902   0.025952    3.004    1.756   113.491    70.918   221.516   184.123    36587.817   cla      o5d088   K15VH1Y  
  43.071177   0.036884    2.287    0.354    81.091     9.512   244.022   235.976     34179.35   cla      o5d089   K15VH3C  
  42.712996   0.032173    1.846    0.908    48.954   245.231    104.77   193.032    85404.312   cla      o5d091   K15VH0U  
  45.825284   0.071709   27.893   29.094   229.672   137.817   147.756    145.39    48023.722   cla      o5d092   K15VG4D  
  42.571792   0.164806   20.027   21.893   226.062   154.971   286.856   284.287    81188.021   cla      o5d093   K15VH2V  
  43.213061   0.028882    0.911    1.493    31.023   207.843   294.399    36.621    33626.971   cla      o5d094   K15VH0V  
   44.59774   0.073923    2.329    2.351   158.382   112.309    318.01   274.705    75244.421   cla      o5d095   K15VH3L  
  44.426954   0.054319    3.593    2.065    67.534   321.332    45.021    62.658    74354.616   cla      o5d096   K15VH1C  
  43.253853    0.00535    2.351    2.309   146.147   112.867   158.116   110.031    26985.069   cla      o5d097   K15VH1W  
  44.335292   0.040823    0.989    2.537   221.921   163.642    246.58   216.691    73547.886   cla      o5d098   K15VH2T  
  45.186968     0.1221   13.289   11.898    59.495   323.547   272.899   277.254    37587.592   cla      o5d099   K15VH1Q  
  42.595197   0.018799    6.109    4.139    59.147   338.046     174.7   181.995       7481.3   cla      o5d100   K15VH1G  
  43.277147   0.039526    1.612    0.902    53.147   238.168   255.392   348.853    29113.628   cla      o5d101   K15VH0R  
   43.41715    0.12394    8.626   10.193   226.431   149.931    84.378    78.124    32716.546   cla      o5d102   K15VH2O  
  45.346171   0.039032     1.75    0.076    92.463     4.223   339.007   334.968    63627.511   cla      o5d103   K15VH2Y  
    43.7937    0.03518    0.961    1.179    49.226    208.66    96.773   212.092    84339.698   cla      o5d104   K15VH2Q  
  43.431475   0.026035    1.157    3.005    249.83   175.048    37.951    29.948    22337.623   cla      o5d105   K15VH0T  
  44.149129   0.077208     2.95    1.197    82.417    348.04   228.488   235.629    30383.753   cla      o5d106   K15VH1S  
  43.705564   0.058755   11.688   10.056    60.282   331.334   238.185   242.506    26914.695   cla      o5d107   K15VH3K  
  43.038849   0.035817    2.212    0.318    84.045    35.141   151.257   120.862     7521.722   cla      o5d108   K15VH2Z  
