,Hx,Nl,Nu,N
70,6.85,791.995407437052,1191.6110714502993,983.4953441977284
71,6.85,802.6792502391389,1204.9658749529078,995.5297481517522
72,6.89,815.1649223371888,1220.5729650754702,1009.5937534398182
73,6.91,841.2147342798205,1253.1352300037597,1038.936562544305
74,6.91,848.0701342835556,1261.7044800084286,1046.658564303377
75,6.93,873.5933046169558,1293.608442925179,1075.408158215363
76,6.93,887.6045288426899,1311.1224732073465,1091.1905630435162
77,6.93,897.8679184003239,1323.951710154389,1102.7513636058336
78,6.94,914.2935345359897,1344.4837303239715,1121.2533673728415
79,6.95,927.812387853116,1361.3822969703792,1136.481159921578
80,6.98,942.8816678584067,1380.2188969769927,1153.4553710026823
81,6.98,957.6379036327934,1398.6641916949761,1170.0769654457508
82,7.0,993.0031980606984,1442.870809729857,1209.9128416358476
83,7.01,1022.1876982817313,1479.3514350061482,1242.7865998296318
84,7.02,1036.099831953925,1496.7416020963904,1258.4573879135646
85,7.05,1056.5729780309562,1522.3330346926796,1281.5185761643504
86,7.07,1082.3779149417671,1554.5892058311929,1310.585555204152
87,7.09,1098.231096310695,1574.405682542353,1328.4427618370328
88,7.1,1124.2913843975289,1606.981042650895,1357.7973713913711
89,7.12,1142.4740680886416,1629.709397264786,1378.2785563508082
90,7.13,1158.293153556941,1649.4832541001604,1396.0973569673388
91,7.15,1177.2297677797178,1673.1540218786315,1417.4277779871888
92,7.15,1192.4027370863819,1692.1202335119613,1434.518785895198
93,7.16,1222.742816169103,1730.0453323653628,1468.6942014682515
94,7.2,1248.097673826717,1761.7389044373801,1497.2542060378523
95,7.22,1285.4465360814977,1808.4249822558563,1539.3243959426895
96,7.23,1302.409071209794,1829.6281511662266,1558.4311914655852
97,7.24,1318.9957414516641,1850.3614889685641,1577.1146084383486
98,7.26,1340.0141866400775,1876.634545454081,1600.790027907593
99,7.26,1360.5691964808211,1902.3283077550107,1623.9434284475303
100,7.26,1380.9688597556521,1927.8278868485493,1646.9218448210306
101,7.26,1399.9949605386137,1951.6105128272513,1668.3530645360383
102,7.26,1418.4409681063794,1974.6680222869584,1689.1308605521037
103,7.27,1435.8774157086273,1996.4635817897683,1708.7714765603841
104,7.28,1461.3196142087534,2028.2663299149256,1737.429862863968
105,7.29,1486.8674634158983,2060.2011414238573,1766.2072553444355
106,7.3,1519.7680024849515,2101.326815260173,1803.2668026250058
107,7.3,1542.2201843133887,2129.39204254572,1828.5571996083672
108,7.3,1564.594053328152,2157.359378814174,1853.7593841337218
109,7.31,1596.0790085721403,2196.715572869159,1889.2244014406504
110,7.32,1617.7971584904,2223.8632602669836,1913.6879764007135
111,7.34,1656.9987528287359,2272.865253189904,1957.8451051275752
112,7.34,1679.106685462729,2300.5001689823957,1982.7477358414837
113,7.34,1699.263782332676,2325.696540069829,2005.4529226143502
114,7.34,1719.908559973545,2349.782113984176,2027.1571375728952
115,7.36,1762.0056290294635,2398.895361216081,2071.414520810854
116,7.36,1797.237013413865,2439.9986429978826,2108.4538899563186
117,7.36,1818.9278709579996,2465.3046434660396,2131.2578669699096
118,7.38,1855.175736338599,2507.5938197434066,2169.3658803229573
119,7.38,1883.2642756097812,2540.3637822264523,2198.895851767475
120,7.38,1905.011867727899,2565.735973030923,2221.7594748286397
121,7.38,1924.5789160933211,2588.5641961239153,2242.330654194924
122,7.38,1943.741711033918,2610.920790221278,2262.4768348819894
123,7.39,1981.5589789081153,2655.040936074508,2302.234788460603
124,7.39,2002.065824710762,2677.1252315542815,2323.7939932708928
125,7.4,2036.0675292875899,2713.7424518677885,2359.5405785783314
126,7.4,2056.6223233809346,2735.8783839683133,2381.1501922632674
127,7.42,2086.7688900128032,2768.343917264172,2412.8438037819938
128,7.42,2106.8972404533065,2791.5689370032137,2435.5166102446506
129,7.43,2149.271112155072,2840.461865889866,2483.2470288404215
130,7.44,2169.2028821098256,2863.4600619915054,2505.6984047729957
131,7.46,2187.296073147833,2884.3368208815136,2526.0787841741385
132,7.47,2228.041377347485,2931.350633419573,2571.9747655220117
133,7.47,2255.120980019031,2962.5963288098183,2602.477542799883
134,7.47,2276.3773127080567,2987.1228665279245,2626.420921497938
135,7.49,2295.4974964208473,3009.1846169657597,2647.9581173119686
136,7.5,2338.011179720118,3058.238866926456,2695.8460213062986
137,7.51,2380.5442127885276,3111.405158261968,2743.7557211041194
138,7.51,2407.787354584628,3145.4590855070933,2774.442710741123
139,7.52,2443.2185629443493,3189.748095956745,2814.352833145468
140,7.53,2487.9389136459868,3245.6485343337918,2864.7263527936593
141,7.53,2512.346507926995,3276.158027185052,2892.2193489528877
142,7.53,2535.631248779876,3305.263953251153,2918.4475500392596
143,7.55,2561.01046073925,3334.8730338704236,2945.129158406612
144,7.55,2580.676625373707,3357.816892610623,2965.8045404359837
145,7.56,2619.5123343235687,3403.125219718795,3006.633198887924
146,7.56,2648.36566287501,3436.7874363621436,3036.9672066473636
147,7.57,2705.163487249992,3503.0515647996226,3096.6797504614424
148,7.57,2730.880153692042,3533.054342315347,3123.7161306145763
149,7.58,2754.9967496633963,3561.190370948594,3149.0703287627057
150,7.58,2778.118001344288,3588.1651645763013,3173.3781040907998
151,7.58,2800.229693009182,3613.9621381853435,3196.6245113585564
152,7.59,2847.0659159778147,3668.604398315416,3245.864249797066
